Show Number, Air Date, Round, Category, Value, Question
1,9/9/80,Jeopardy!,LAKES & RIVERS,$100,River mentioned most often in the Bible
1,9/9/80,Jeopardy!,INVENTIONS,$100,Marconi's wonderful wireless
1,9/9/80,Jeopardy!,ANIMALS,$100,These rodents first got to America by stowing away on ships
1,9/9/80,Jeopardy!,FOREIGN CUISINE,$100,"The ""coq"" in coq au vin"
1,9/9/80,Jeopardy!,ACTORS & ROLES,$100,Video in which Michael Jackson plays a werewolf & a zombie
1,9/9/80,Jeopardy!,LAKES & RIVERS,$200,Scottish word for lake
1,9/9/80,Jeopardy!,INVENTIONS,$200,"In 1869 an American minister created this ""oriental"" transportation"
1,9/9/80,Jeopardy!,ANIMALS,$200,"There are about 40,000 muscles & tendons in this part of an elephant's body"
1,9/9/80,Jeopardy!,FOREIGN CUISINE,$200,"A British variety is called ""bangers"", a Mexican variety, ""chorizo"""
1,9/9/80,Jeopardy!,ACTORS & ROLES,$200,"2 ""Saturday Night"" alumni who tried ""Trading Places"""
1,9/9/80,Jeopardy!,LAKES & RIVERS,$800,"River in <a href=""http://www.j-archive.com/media/1984-09-10_J_14.mp3"">this</a> famous song:"
1,9/9/80,Jeopardy!,INVENTIONS,$300,A 1920's hunting trip to Canada inspired Birdseye's food preserving method
1,9/9/80,Jeopardy!,ANIMALS,$300,"When husbands ""pop"" for an ermine coat, they're actually buying this fur"
1,9/9/80,Jeopardy!,FOREIGN CUISINE,$300,Jewish crepe filled with cheese
1,9/9/80,Jeopardy!,ACTORS & ROLES,$300,"He may ""Never Say Never Again"" when asked to be Bond"
1,9/9/80,Jeopardy!,LAKES & RIVERS,$400,American river only 33 miles shorter than the Mississippi
1,9/9/80,Jeopardy!,INVENTIONS,$400,This fastener gets its name from a brand of galoshes it was used on
1,9/9/80,Jeopardy!,ANIMALS,$400,"Close relative of the pig, though its name means ""river horse"""
1,9/9/80,Jeopardy!,FOREIGN CUISINE,$400,French for a toothsome cut of beef served to a twosome
1,9/9/80,Jeopardy!,ACTORS & ROLES,$400,"The blonde preferred in the film ""Gentlemen Prefer Blondes"""
1,9/9/80,Jeopardy!,LAKES & RIVERS,$500,"World's largest lake, nearly 5 times as big as Superior"
1,9/9/80,Jeopardy!,ANIMALS,$500,"If this species of hybrid's parents were reversed, you'd get a hinny"
1,9/9/80,Jeopardy!,ACTORS & ROLES,$500,"Sam Shepard played this barrier breaker in ""The Right Stuff"""
1,9/9/80,Double Jeopardy!,THE BIBLE,$200,"When ""Joshua Fit The Battle Of Jericho"", these took a tumble"
1,9/9/80,Double Jeopardy!,'50'S TV,$200,"Occupation of Richard Diamond, Peter Gunn & Mike Hammer"
1,9/9/80,Double Jeopardy!,NATIONAL LANDMARKS,$200,She came from France to harbor America's freedom
1,9/9/80,Double Jeopardy!,NOTORIOUS,$200,"It was probably a lyre, not a fiddle, if he played it while Rome burned"
1,9/9/80,Double Jeopardy!,4-LETTER WORDS,$200,Pulled the trigger or what's in a jigger
1,9/9/80,Double Jeopardy!,THE BIBLE,$400,His price was 30 pieces of silver
1,9/9/80,Double Jeopardy!,'50'S TV,$400,"She was ""Our Miss Brooks"""
1,9/9/80,Double Jeopardy!,NATIONAL LANDMARKS,$400,"When he was home, George Washington slept here"
1,9/9/80,Double Jeopardy!,NOTORIOUS,$400,"His book, translated as ""My Struggle"", outlined plans to conquer Europe"
1,9/9/80,Double Jeopardy!,4-LETTER WORDS,$400,Basketball defense or Serling's twilight area
1,9/9/80,Double Jeopardy!,THE BIBLE,$600,"According to the Bible, it wasn't necessarily an apple"
1,9/9/80,Double Jeopardy!,'50'S TV,$600,Amount Michael Anthony gave out each week on behalf of John Beresford Tipton
1,9/9/80,Double Jeopardy!,NATIONAL LANDMARKS,$600,"The cornerstone of Massachusetts, it bears the date 1620"
1,9/9/80,Double Jeopardy!,NOTORIOUS,$600,"Lenin called him ruthless, and his purges proved he was"
1,9/9/80,Double Jeopardy!,4-LETTER WORDS,$600,"Little girls do it with a rope, Van Halen does it in a song"
1,9/9/80,Double Jeopardy!,THE BIBLE,$800,"Though its name means ""city of peace"", it's seen over 30 wars, the last in 1967"
1,9/9/80,Double Jeopardy!,'50'S TV,$800,"His card read ""Have gun, will travel"""
1,9/9/80,Double Jeopardy!,NATIONAL LANDMARKS,$800,"Site where John Hancock signed his ""John Hancock"""
1,9/9/80,Double Jeopardy!,4-LETTER WORDS,"$1,000","It's the first 4-letter word in ""The Star Spangled Banner"""
1,9/9/80,Double Jeopardy!,THE BIBLE,"$1,000","According to 1st Timothy, it is the ""root of all evil"""
1,9/9/80,Double Jeopardy!,'50'S TV,"$1,000",Name under which experimenter Don Herbert taught viewers all about science
1,9/9/80,Double Jeopardy!,NATIONAL LANDMARKS,"$1,000",D.C. building shaken by November '83 bomb blast
1,9/9/80,Double Jeopardy!,NOTORIOUS,"$1,000","After the deed, he leaped to the stage shouting ""Sic semper tyrannis"""
1,9/9/80,Double Jeopardy!,4-LETTER WORDS,"$1,000",The president takes one before stepping into office
1,9/9/80,Final Jeopardy!,HOLIDAYS,None,The third Monday of January starting in 1986
2,9/10/80,Jeopardy!,STATE CAPITALS,$100,Until 1875 its dual capitals were New Haven & Hartford
2,9/10/80,Jeopardy!,THE '40'S,$100,"Though faster than a speeding bullet, he was ruled 4-F"
2,9/10/80,Jeopardy!,TRANSPORTATION,$100,"Type of auto engine, or a tomato cocktail"
2,9/10/80,Jeopardy!,COUNTRY MUSIC,$100,"A grandma before her 30th birthday, she's the real ""Coal Miner's Daughter"""
2,9/10/80,Jeopardy!,BY THE NUMBERS,$100,The 2 digits that give James Bond license to kill
2,9/10/80,Jeopardy!,STATE CAPITALS,$200,This N.M. town is the oldest city that's a state capital
2,9/10/80,Jeopardy!,THE '40'S,$200,"By war's end, they had banked over 13 million units of blood for plasma"
2,9/10/80,Jeopardy!,TRANSPORTATION,$200,"Lindbergh was not first to fly the Atlantic, but first to do it this way"
2,9/10/80,Jeopardy!,COUNTRY MUSIC,$200,Nashville's Ryman Auditorium was its home for years
2,9/10/80,Jeopardy!,BY THE NUMBERS,$200,Three Dog Night called this the loneliest number
2,9/10/80,Jeopardy!,STATE CAPITALS,$300,"Crossing the Delaware on Xmas, 1776, Washington defeated the Hessians at this N.J. capital"
2,9/10/80,Jeopardy!,THE '40'S,$300,"Not his singing, but a lack of lunch caused fan to swoon at his Paramount Theater concert"
2,9/10/80,Jeopardy!,TRANSPORTATION,$300,"Derived from words ""American"", ""travel"", & ""track"", it provides most U.S. passenger rail service"
2,9/10/80,Jeopardy!,COUNTRY MUSIC,$300,"In ""True Grit"", he played a cowboy, but not his famous Rhinestone one"
2,9/10/80,Jeopardy!,BY THE NUMBERS,$300,Number of red stripes on current U.S. flag
2,9/10/80,Jeopardy!,STATE CAPITALS,$400,"It actually <u>is</u> 5,280 feet above sea level"
2,9/10/80,Jeopardy!,THE '40'S,$400,"Destination of MacArthur's ""I shall return"""
2,9/10/80,Jeopardy!,TRANSPORTATION,$400,"London's, not New York's, was the first ever built"
2,9/10/80,Jeopardy!,COUNTRY MUSIC,$400,His famed San Quentin concert inspired inmate Merle Haggard
2,9/10/80,Jeopardy!,BY THE NUMBERS,$400,Total of Disney's Dalmatians and dwarfs
2,9/10/80,Jeopardy!,STATE CAPITALS,$500,"The name shows its founder, Roger Williams, believed God led him there"
2,9/10/80,Jeopardy!,THE '40'S,$500,Wartime pseudonym of Mrs. I. Toguri D'Aquino
2,9/10/80,Jeopardy!,TRANSPORTATION,$500,"Changing lines, you could have at one time ridden these from Freeport, IL to Utica, NY"
2,9/10/80,Jeopardy!,BY THE NUMBERS,$500,Broadway hit that takes Fellini film a 东 step further
2,9/10/80,Double Jeopardy!,WILD WEST,$200,"One of its newspapers was appropriately called ""The Epitaph"""
2,9/10/80,Double Jeopardy!,OPERA,$200,The Lone Ranger's theme is the opera's overture
2,9/10/80,Double Jeopardy!,SPORTS,$200,"The Greeks reckoned time from this event, first held in Olympia in 776 B.C."
2,9/10/80,Double Jeopardy!,BIOLOGY,$200,Genus <u>Rana</u>; frequent victim of biology class dissections
2,9/10/80,Double Jeopardy!,FOREIGN PHRASES,$200,"In Germany, said before a toast & after a sneeze"
2,9/10/80,Double Jeopardy!,RELIGION,$200,He was the doubter among the Apostles
2,9/10/80,Double Jeopardy!,WILD WEST,$400,She once shot a cigarette from the mouth of the German crown prince
2,9/10/80,Double Jeopardy!,OPERA,$400,Profession of Rossini's Figaro
2,9/10/80,Double Jeopardy!,BIOLOGY,$400,L.B.J.'s hound dog or Darwin's ship
2,9/10/80,Double Jeopardy!,FOREIGN PHRASES,$400,"American equivalent to English ""the bonnet on a lorry"""
2,9/10/80,Double Jeopardy!,RELIGION,$400,Continent with the largest Jewish population
2,9/10/80,Double Jeopardy!,WILD WEST,$600,"In 650,000 miles the mail was lost only once"
2,9/10/80,Double Jeopardy!,OPERA,"$1,000","<a href=""http://www.j-archive.com/media/1984-09-11_DJ_09.mp3"">This</a> aria from ""Pagliacci"" gave him the first million-selling record ever"
2,9/10/80,Double Jeopardy!,BIOLOGY,$600,The basic unit of life; 3 billion die every minute in your body
2,9/10/80,Double Jeopardy!,FOREIGN PHRASES,$600,"From French, it literally means ""a pen name"""
2,9/10/80,Double Jeopardy!,RELIGION,$600,Color of smoke signifying election of new Pope
2,9/10/80,Double Jeopardy!,WILD WEST,$800,"Brothers Virgil & Morgan were shot here, but Wyatt Earp emerged unscathed"
2,9/10/80,Double Jeopardy!,OPERA,$800,Lt. Pinkerton's girlfriend Cio-Cio-San
2,9/10/80,Double Jeopardy!,BIOLOGY,$800,It puts the green in greenery
2,9/10/80,Double Jeopardy!,FOREIGN PHRASES,$800,"The vidi, in ""Veni, vidi, vici"""
2,9/10/80,Double Jeopardy!,RELIGION,$800,"This Buddhist sect seeks truth through concepts like ""the sound of one hand clapping"""
2,9/10/80,Double Jeopardy!,WILD WEST,"$1,000","It ran 2,000 miles, from Independence, Missouri to Oregon City, Oregon"
2,9/10/80,Double Jeopardy!,OPERA,"$1,000",1976 was also the bicentennial of this famed Milan opera house
2,9/10/80,Double Jeopardy!,BIOLOGY,"$1,000",Deoxyribonucleic acid
2,9/10/80,Double Jeopardy!,RELIGION,"$1,000","This word for the Mohammedan religion means ""submission to the will of God"""
2,9/10/80,Final Jeopardy!,THE CALENDAR,None,Calendar date with which the 20th century began
